Date,AAPL
2024-08-01,218.36000061035156
2024-08-02,219.86000061035156
2024-08-05,209.27000427246094
2024-08-06,207.22999572753906
2024-08-07,209.82000732421875
2024-08-08,213.30999755859375
2024-08-09,216.24000549316406
2024-08-12,217.52999877929688
2024-08-13,221.27000427246094
2024-08-14,221.72000122070312
2024-08-15,224.72000122070312
2024-08-16,226.0500030517578
2024-08-19,225.88999938964844
2024-08-20,226.50999450683594
2024-08-21,226.39999389648438
2024-08-22,224.52999877929688
2024-08-23,226.83999633789062
2024-08-26,227.17999267578125
2024-08-27,228.02999877929688
2024-08-28,226.49000549316406
2024-08-29,229.7899932861328
2024-08-30,229.0
2024-09-03,222.77000427246094
2024-09-04,220.85000610351562
2024-09-05,222.3800048828125
2024-09-06,220.82000732421875
2024-09-09,220.91000366210938
2024-09-10,220.11000061035156
2024-09-11,222.66000366210938
2024-09-12,222.77000427246094
2024-09-13,222.5
2024-09-16,216.32000732421875
2024-09-17,216.7899932861328
2024-09-18,220.69000244140625
2024-09-19,228.8699951171875
2024-09-20,228.1999969482422
2024-09-23,226.47000122070312
2024-09-24,227.3699951171875
2024-09-25,226.3699951171875
2024-09-26,227.52000427246094
2024-09-27,227.7899932861328
2024-09-30,233.0
2024-10-01,226.2100067138672
2024-10-02,226.77999877929688
2024-10-03,225.6699981689453
2024-10-04,226.8000030517578
2024-10-07,221.69000244140625
2024-10-08,225.77000427246094
2024-10-09,229.5399932861328
2024-10-10,229.0399932861328
2024-10-11,227.5500030517578
2024-10-14,231.3000030517578
2024-10-15,233.85000610351562
2024-10-16,231.77999877929688
2024-10-17,232.14999389648438
2024-10-18,235.0
2024-10-21,236.47999572753906
2024-10-22,235.86000061035156
2024-10-23,230.75999450683594
2024-10-24,230.57000732421875
2024-10-25,231.41000366210938
2024-10-28,233.39999389648438
2024-10-29,233.6699981689453
2024-10-30,230.10000610351562
2024-10-31,225.91000366210938
2024-11-01,222.91000366210938
2024-11-04,222.00999450683594
2024-11-05,223.4499969482422
2024-11-06,222.72000122070312
2024-11-07,227.47999572753906
2024-11-08,226.9600067138672
2024-11-11,224.22999572753906
2024-11-12,224.22999572753906
2024-11-13,225.1199951171875
2024-11-14,228.22000122070312
2024-11-15,225.0
2024-11-18,228.02000427246094
2024-11-19,228.27999877929688
2024-11-20,229.0
2024-11-21,228.52000427246094
2024-11-22,229.8699951171875
2024-11-25,232.8699951171875
2024-11-26,235.05999755859375
2024-11-27,234.92999267578125
2024-11-29,237.3300018310547
2024-12-02,239.58999633789062
2024-12-03,242.64999389648438
2024-12-04,243.00999450683594
2024-12-05,243.0399932861328
2024-12-06,242.83999633789062
2024-12-09,246.75
2024-12-10,247.77000427246094
2024-12-11,246.49000549316406
2024-12-12,247.9600067138672
2024-12-13,248.1300048828125
2024-12-16,251.0399932861328
2024-12-17,253.47999572753906
2024-12-18,248.0500030517578
2024-12-19,249.7899932861328
2024-12-20,254.49000549316406
2024-12-23,255.27000427246094
2024-12-24,258.20001220703125
2024-12-26,259.0199890136719
2024-12-27,255.58999633789062
2024-12-30,252.1999969482422
